0 -217494.29071460 -228803.54572208 11819.31130420 336.03256078 -846.08885750 0.1803 3.3966
1 -219841.67957355 -231166.71945384 11819.32640230 599.53615489 -1093.82267691 0.2766 3.2278
2 -219843.52481290 -231168.49375294 11819.32694242 599.41629541 -1093.77429779 0.2766 3.2279
3 -219846.85589940 -231171.68352742 11819.32762330 599.17748945 -1093.67748473 0.2764 3.2281
4 -219851.07396639 -231175.69008448 11819.32766309 598.82008015 -1093.53162516 0.2763 3.2283
5 -219855.46046205 -231179.79377143 11819.32587062 598.34230883 -1093.33487007 0.2760 3.2286
6 -219859.31814023 -231183.29343841 11819.32054070 597.73769443 -1093.08293696 0.2757 3.2290
7 -219862.11579334 -231185.64804038 11819.30914592 596.98969065 -1092.76658954 0.2754 3.2295
8 -219863.64554686 -231186.62144148 11819.28718342 596.05029718 -1092.36158597 0.2750 3.2302
9 -219864.10412565 -231186.40742126 11819.24939814 594.91643131 -1091.86253384 0.2745 3.2310
10 -219864.26604730 -231186.51361721 11819.24521899 594.81771973 -1091.81536882 0.2745 3.2311
11 -219864.56831779 -231186.70420521 11819.23663246 594.62026813 -1091.72101318 0.2744 3.2312
12 -219864.97561114 -231186.94308452 11819.22315292 594.32346771 -1091.57914725 0.2744 3.2314
13 -219865.44706282 -231187.18780609 11819.20401621 593.92563673 -1091.38890967 0.2743 3.2317
14 -219865.94566606 -231187.39880729 11819.17815306 593.42373504 -1091.14874686 0.2741 3.2321
15 -219866.44671325 -231187.54804243 11819.14418464 592.81367931 -1090.85653477 0.2740 3.2325
16 -219866.94897602 -231187.62560063 11819.09991447 592.08245858 -1090.50574844 0.2738 3.2331
17 -219867.45960984 -231187.63843545 11819.04366675 591.23206769 -1090.09690883 0.2736 3.2337
18 -219867.99483735 -231187.60639719 11818.97409436 590.27095872 -1089.63349323 0.2733 3.2344
19 -219868.57001930 -231187.54973587 11818.89008310 589.20930123 -1089.11966776 0.2730 3.2352
20 -219869.19101321 -231187.47866740 11818.79062604 588.05575196 -1088.55872381 0.2727 3.2360
21 -219869.85136300 -231187.38953527 11818.67469019 586.81565394 -1087.95217187 0.2724 3.2369
22 -219870.53546249 -231187.26736900 11818.54107241 585.49000206 -1087.29916796 0.2720 3.2378
23 -219871.22512338 -231187.09271222 11818.38835962 584.07586574 -1086.59663652 0.2716 3.2389
24 -219871.90734647 -231186.85046228 11818.21505777 582.56813450 -1085.84007647 0.2712 3.2399
25 -219872.57957068 -231186.53770817 11818.02008786 580.96385890 -1085.02580928 0.2708 3.2411
26 -219873.24819110 -231186.16601715 11817.80367216 579.26877399 -1084.15462010 0.2704 3.2422
27 -219873.92272110 -231185.75401271 11817.56731818 577.49459637 -1083.23062294 0.2699 3.2435
28 -219874.60856359 -231185.31650348 11817.31324256 575.65264212 -1082.25794480 0.2695 3.2448
29 -219875.30343431 -231184.85881860 11817.04392637 573.75005879 -1081.23860087 0.2691 3.2461
30 -219875.99942485 -231184.37851633 11816.76196376 571.78903486 -1080.17190715 0.2687 3.2474
31 -219876.68862366 -231183.87203272 11816.47020431 569.76856457 -1079.05535982 0.2683 3.2488
32 -219877.36823816 -231183.34196442 11816.17212255 567.68870651 -1077.88710279 0.2679 3.2502
33 -219878.04145441 -231182.79985092 11815.87207707 565.55500169 -1076.66868225 0.2675 3.2516
34 -219878.71410857 -231182.26175130 11815.57493862 563.37699762 -1075.40429351 0.2671 3.2531
35 -219879.39022002 -231181.74150115 11815.28559373 561.16345878 -1074.09777139 0.2668 3.2545
36 -219880.07006729 -231181.24748723 11815.00863692 558.91948536 -1072.75070234 0.2664 3.2560
37 -219880.75183362 -231180.78469285 11814.74843073 556.64706833 -1071.36263983 0.2661 3.2574
38 -219881.43492162 -231180.35882495 11814.50911321 554.34749399 -1069.93270389 0.2658 3.2588
39 -219882.12172965 -231179.97858725 11814.29445286 552.02380717 -1068.46140244 0.2656 3.2603
40 -219882.81639052 -231179.65399064 11814.10762208 549.68084184 -1066.95086381 0.2654 3.2617
41 -219883.52204986 -231179.39272159 11813.95109782 547.32290166 -1065.40332775 0.2652 3.2631
42 -219884.23942738 -231179.19821925 11813.82670968 544.95186553 -1063.81978335 0.2651 3.2646
43 -219884.96774191 -231179.07070481 11813.73566417 542.56725840 -1062.19995967 0.2650 3.2660
44 -219885.70662256 -231179.00945557 11813.67843021 540.16788022 -1060.54347741 0.2649 3.2674
45 -219886.45686276 -231179.01384419 11813.65457610 537.75338765 -1058.85098232 0.2649 3.2688
46 -219887.21943542 -231179.08243780 11813.66277974 535.32423217 -1057.12400953 0.2649 3.2701
47 -219887.99416984 -231179.21169890 11813.70103988 532.88035934 -1055.36387016 0.2649 3.2715
48 -219888.77960119 -231179.39595851 11813.76686935 530.42048477 -1053.57099681 0.2650 3.2729
49 -219889.57397775 -231179.62863524 11813.85733894 527.94267804 -1051.74535949 0.2651 3.2743
50 -219890.37612409 -231179.90329920 11813.96906145 525.44544994 -1049.88733628 0.2652 3.2757
51 -219891.18526587 -231180.21359266 11814.09829059 522.92798858 -1047.99795238 0.2653 3.2771
52 -219892.00032851 -231180.55252449 11814.24114631 520.38931891 -1046.07826924 0.2655 3.2785
53 -219892.81974218 -231180.91229618 11814.39380285 517.82760891 -1044.12885776 0.2657 3.2799
54 -219893.64195738 -231181.28497750 11814.55256034 515.24045132 -1042.14999155 0.2658 3.2814
55 -219894.46592667 -231181.66327241 11814.71387586 512.62565348 -1040.14218360 0.2660 3.2829
56 -219895.29097880 -231182.04066288 11814.87444018 509.98155752 -1038.10631362 0.2662 3.2844
