0 -90186.30712859 -95610.40984154 4936.99680255 1319.29869832 -832.19278792 0.2014 2.7671
50 -91815.86544895 -96549.88932875 4925.82691995 312.71077408 -504.51381424 0.2356 3.3208
100 -91871.02002672 -96570.43499344 4935.27628536 132.13078179 -367.99210042 0.2436 3.6020
150 -91882.37420215 -96581.27473107 4935.08371426 140.51102129 -376.69420663 0.2436 3.5726
200 -91890.05412428 -96588.43319024 4935.04460912 140.99008110 -377.65562425 0.2439 3.5740
250 -91895.22806770 -96593.13866846 4935.01436808 141.29387432 -378.39764164 0.2436 3.5739
300 -91898.76346972 -96596.26317548 4934.98544025 141.57222141 -379.05795589 0.2431 3.5737
350 -91901.20529785 -96598.33854961 4934.95752507 141.81755405 -379.64182737 0.2424 3.5736
400 -91902.90878072 -96599.71040832 4934.93003003 142.03405958 -380.16246201 0.2416 3.5735
450 -91904.11388935 -96600.61117273 4934.90262825 142.22841424 -380.63375911 0.2406 3.5734
500 -91904.98130715 -96601.19582844 4934.87512851 142.40479925 -381.06540646 0.2394 3.5734
550 -91905.61935973 -96601.56819912 4934.84739060 142.56663037 -381.46518157 0.2382 3.5733
600 -91906.07738360 -96601.78798468 4934.82083675 142.70790117 -381.81813685 0.2369 3.5733
650 -91906.44497164 -96601.92308731 4934.79351491 142.84309726 -382.15849650 0.2355 3.5733
700 -91906.73577614 -96601.99613634 4934.76697687 142.96780818 -382.47442486 0.2341 3.5732
750 -91906.97727925 -96602.02838866 4934.73994030 143.08099020 -382.76982110 0.2326 3.5732
800 -91907.19821476 -96602.03437732 4934.71144304 143.19756021 -383.07284069 0.2310 3.5731
850 -91907.39192255 -96602.02048495 4934.68298203 143.30660189 -383.36102151 0.2293 3.5731
900 -91907.56941927 -96601.99350350 4934.65426405 143.41244739 -383.64262721 0.2275 3.5730
950 -91907.73342972 -96601.95808994 4934.62565200 143.51386394 -383.91485572 0.2257 3.5729
1000 -91907.89796283 -96601.86959348 4934.59890696 144.55598929 -385.18326560 0.2245 3.5692
1050 -91907.93373066 -96601.84448735 4934.56917384 144.43223981 -385.09065696 0.2243 3.5696
1100 -91907.95776689 -96601.83876111 4934.57526782 144.14739412 -384.84166772 0.2240 3.5707
1150 -91907.99579825 -96601.83337572 4934.57694268 143.90131775 -384.64068296 0.2236 3.5718
1200 -91908.04561295 -96601.82741494 4934.57103789 143.80915489 -384.59839079 0.2230 3.5724
1250 -91908.10588130 -96601.81605489 4934.55933130 143.81659797 -384.66575567 0.2223 3.5725
1300 -91908.17603220 -96601.79731075 4934.54416028 143.85348624 -384.77636797 0.2213 3.5725
1350 -91908.25600412 -96601.77209908 4934.52635253 143.89924671 -384.90950428 0.2201 3.5724
1400 -91908.34330998 -96601.74262475 4934.50675101 143.95096481 -385.05840105 0.2188 3.5724
1450 -91908.43757056 -96601.70997380 4934.48574643 144.00685457 -385.22019776 0.2173 3.5723
1500 -91908.54118538 -96601.67340649 4934.46273116 144.06970384 -385.40021389 0.2157 3.5722
1550 -91908.65391003 -96601.63303918 4934.43784444 144.13869317 -385.59740846 0.2139 3.5720
1600 -91908.77521217 -96601.58891556 4934.41117572 144.21400731 -385.81147964 0.2119 3.5717
1650 -91908.89916398 -96601.54296237 4934.38395905 144.29176428 -386.03192494 0.2099 3.5715
1700 -91909.01949179 -96601.49756622 4934.35749658 144.36840380 -386.24782595 0.2078 3.5712
1750 -91909.14105916 -96601.45082393 4934.33072819 144.44653712 -386.46750055 0.2058 3.5708
1800 -91909.26114157 -96601.40371398 4934.30418875 144.52451235 -386.68612870 0.2037 3.5705
1850 -91909.37954543 -96601.35619436 4934.27778469 144.60224295 -386.90337871 0.2017 3.5701
1900 -91909.49630207 -96601.30828317 4934.25152415 144.67948232 -387.11902537 0.1996 3.5697
1950 -91909.61140781 -96601.26017167 4934.22555515 144.75651971 -387.33331099 0.1976 3.5693
